id,Org_1,Org_2,Org_4,Org_8,Org_12,Org_13,Org_14,Org_15,Org_16,Org_19,Org_20,Org_22,Org_23,Org_24,Org_29,Org_32,Org_34,Org_37,Org_38,Org_39,Org_40,Org_44,Org_45,Org_48,Org_50,Org_51,Org_52,Org_55,Org_56,Org_58,Org_59,Org_60
91,3,1,1,1,1,3,2,3,3,1,1,2,2,1,2,3,1,1,1,1,3,2,2,2,2,2,2,2,3,3,3,2
94,1,1,1,2,2,2,2,2,3,1,1,2,1,1,3,1,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,1
95,2,2,2,2,2,3,2,2,3,2,2,1,1,1,1,2,3,2,1,2,2,2,3,2,3,2,2,3,2,2,2,1
96,1,2,2,3,2,3,2,3,2,2,2,3,2,2,3,2,1,3,2,2,2,2,3,3,1,2,2,3,3,2,2,2
97,2,1,1,3,2,2,2,2,3,3,1,2,2,3,2,1,3,3,2,2,1,1,3,3,2,2,2,2,3,3,2,1
98,2,2,1,2,1,2,1,3,3,2,2,1,2,2,2,2,2,1,1,1,2,2,3,1,2,2,3,3,3,3,3,1
99,2,2,2,3,2,2,1,3,1,2,1,1,2,2,2,2,2,1,2,2,2,2,3,1,2,2,3,3,2,2,3,2
100,2,2,1,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,3,2,1,2,1,3,3,3,3,2
101,3,1,1,3,2,2,3,3,2,2,2,1,2,2,2,2,2,1,1,1,2,2,3,1,2,2,2,3,3,3,2,2
102,2,2,1,3,2,2,2,3,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,2,3,3,1
103,2,1,1,2,2,2,2,3,2,3,2,1,3,2,2,2,3,1,1,2,1,2,3,2,1,2,3,3,3,3,2,1
104,2,2,2,3,1,2,2,3,3,3,2,2,2,2,2,2,1,1,2,2,1,2,3,2,2,2,2,3,3,3,2,1
105,3,1,1,3,2,2,2,2,3,3,1,2,2,2,1,2,2,1,2,2,1,2,2,3,2,2,3,3,3,3,2,1
106,2,1,1,3,1,2,1,3,3,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,3,3,3,3,1
108,2,1,1,2,2,2,1,3,1,3,2,2,2,3,2,2,2,1,1,2,3,2,2,2,2,2,2,3,1,3,3,1
109,1,1,1,2,1,2,2,3,1,2,1,2,2,3,2,1,2,1,2,2,3,1,2,2,2,2,3,3,3,3,3,1
110,2,1,2,3,1,2,2,2,2,3,1,1,2,2,2,2,2,1,1,2,2,2,3,1,2,2,3,2,3,3,2,1
111,1,1,1,2,1,2,2,2,3,3,2,2,3,2,2,2,2,2,1,1,2,3,2,2,2,2,2,1,3,2,3,2
112,2,2,2,2,1,2,2,2,3,3,1,2,2,1,2,2,1,1,2,1,2,2,3,2,3,3,2,2,2,3,3,2
114,1,2,1,3,2,1,2,2,2,2,3,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,1,3,3,2,2
115,2,2,1,2,2,2,1,3,2,3,1,2,1,2,2,2,2,2,2,3,2,2,2,1,1,2,3,2,2,3,2,2
117,2,1,2,3,2,2,2,2,2,2,1,1,2,3,2,2,2,2,2,2,1,3,3,1,1,1,3,2,2,3,1,1
118,2,2,1,3,1,2,1,2,2,1,1,2,2,3,2,1,2,2,1,2,3,2,3,1,1,3,3,2,3,2,3,1
119,1,2,1,3,1,2,2,2,2,1,2,1,1,3,2,2,3,2,2,2,2,2,3,2,2,1,2,3,3,3,2,1
120,2,1,1,2,1,2,3,3,2,2,2,2,1,2,2,2,3,2,1,1,2,2,2,2,2,3,2,2,3,3,3,1
121,1,2,2,3,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,3,1,2,1,3,3,2,3,3,2
122,2,1,1,2,1,2,2,1,2,1,1,2,2,2,2,3,2,2,1,2,2,2,3,2,3,3,2,1,3,3,3,1
124,2,3,2,2,1,3,2,3,1,2,1,2,1,2,2,1,2,1,2,1,2,2,3,1,3,3,3,3,2,2,3,1
125,2,1,2,2,3,2,1,1,3,2,2,2,2,3,2,1,2,3,1,2,3,2,3,2,1,2,2,2,3,2,2,1
126,3,2,1,3,2,3,2,2,2,3,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,3,2,3,2,3
127,1,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,3,1,2,1,2,3,2,2,2,2,2,3,3,3,3,1
129,2,1,2,3,2,2,1,3,2,2,1,1,2,3,3,1,1,2,1,3,3,2,2,2,2,2,3,2,2,3,2,1
